"","mode","Distance","Time","Speed","Distance","Time","Speed"
"1","Bus",8.61150535849595,64.7221042218278,8.46987675043866,6.62918758738233,54.208352246936,7.76164583040798
"2","School Bus",2.44683727864235,31.0301960784314,5.5379896349134,3.92593813059773,32.8729096989967,7.92357389526038
"3","Car",5.54725968820865,30.6603648214653,12.0534042031973,4.23063926965928,23.4443742098609,12.1145933145898
"4","Minibus",9.09256257640216,63.2614691809738,8.86562724472591,6.82531836201185,49.339552238806,8.89130349388258
"5","Rail",11.0273999555246,64.341596067357,10.8055033874762,9.52804418054065,56.8684807256236,10.3504169069733
"6","Other",7.46835843619636,28.3214030064424,17.6694212442313,5.43529654312691,22.0804597701149,16.5063786241187
"7","Bicycle",2.97700270162746,23.9882697947214,8.35693212013634,2.99030201320671,22.5,10.6619049524543
"8","Walk",1.21825607964681,16.3813537161822,6.31071365796408,1.28653661999797,17.6833659491194,5.90112592655649
"9","Average",6.04864775934305,40.3383446109252,9.7586835303854,5.10640783831543,34.8746868549322,10.0138678680304
